,Date,content,change
34,2010-08-02,개월간 마이너스 통장 골드 이제 금융상품 선호 금융사 금융시장 국면 단위 개설 선물,-0.019230768999999998
35,2010-08-11,개별 이틀 수혜 유망 장관 신임 의료 전일 플레이 섰다 세계적 러시아 중단 소식 수입 호재 등장 마찬가지 움직임,-0.013333333000000001
38,2010-08-18,회계 당기 당기순이익 직전 수지 사가 대금 수입 금감원 재정 여파 등락 사의 흑자,0.026755853
40,2010-08-22,원금 보장 증권가 논란 움직임 증권업계 개별 조기 차원 가정 설계 검증,-0.016666667
41,2010-08-23,원금 보장 증권가 논란 움직임 증권업계 개별 조기 차원 가정 설계 검증,-0.003389831
42,2010-08-25,저금리 기조 프로젝트 실패 퇴직 총괄 부사장 영입 강남 개설 직접 인수합병 간담회 한계 금융지주 보험사 방어,-0.030612245
43,2010-08-27,왼쪽 정규리그 실내 연맹 삼성화재 독일 챔피언결정전 연패 영입 현대캐피탈 세터 공격수 시절 무대 흥국생명 남녀 최우수 대한항공 시청 참가 파견 행정 장관 승진 전보 이종 점검 변수 손해보험 체제 칼텍스 연주 의료 강남 대외 교류,0.031358885
44,2010-08-29,통해 여명 신용등급 금융회사 소외 계층 소액 사업자 개설 재단 부실 정리 가족 이내 경기도 자녀 가정 억만원 이사장 서민 조회 충족 아이비케이투자증권 여의도 증권가 논란 원금 기초 조기 수치 개의 특정 설계 위치 접근 취지 세터 삼성화재 현대캐피탈 영입 승부 실내 소속 성공률 절반 플레이 중반 선호 고민 선물 독일 손해보험 과제,0.031358885
50,2010-09-05,대한항공 흥국생명 정상 직전 현대캐피탈 실내 후보 삼성화재 개막 세터 월드 영입 코트 최우수 도로공사 남녀 서브 성공률 매일 오늘 시절 본인,0.006968640999999999
51,2010-09-06,무대 실내 흥국생명 최우수 연장 부상 최선 선물 점포 기기 개월간 구입 구매 화성 승인 적립 마트 회원 직접 여성 도로공사 정규리그 주장 블로킹 최다 서브 지도 현대캐피탈 대한항공 남녀 성공률 매일 삼성화재 오늘 시절 본인 직전 후보 개막 세터 월드 영입 코트 정상 독일 작성 플레이 차원 등장,-0.010380623
52,2010-09-09,호텔 간담회 서민 근로자 누구 보장 소액 최소 납입 단체 가족 기본 창구 퇴직 주력 연맹 독일 무대 현대캐피탈 논의 규정 해석 소속 유망 사태 이내 방지 개막 직전 공식 자격 억만원 흥국생명 최우수 논란,0.039568345
53,2010-09-10,코스피지수 금융위기 기조 부실 충격 증권업계 선도 대외 변수 신흥국 삼성증권 소프트 바닥 차별화 매력 요소 선진국 유가증권시장 억원어치 어치 호조 상장사 정보기술 우선 수급 적립 신영 호텔 간담회 서민 근로자 누구 보장 소액 최소 납입 단체 가족 기본 창구 퇴직 주력,0.01384083
54,2010-09-13,사가 특정 개월간 중소형 초과 보수 장점 성장세 코스피지수 차익 격차 아이비케이투자증권 근거,0.0068259390000000005
55,2010-09-15,이사회 직무 사태 하락세 관측 국면 수석 당장,-0.033112583
56,2010-09-17,조치 연봉 억만원 연맹 인정 선발 자격 삼성화재 대한항공 손해보험 현대캐피탈 규정 방지 내부 과도 독일 무대 이해 독일,0.010416667
57,2010-09-20,브랜드 특정 소비 에프앤가이드 가이드 신탁 메리 범위 호텔 의료 기기 뱅킹 기업인 포트폴리오 중장기 영국 선진국,0.024054983
58,2010-09-26,특정 초과 코스피지수 나머지 미만 보수 투자가 기본 근거 파악 등락 변동 동양 드림,0.040268456
59,2010-09-27,특정 초과 코스피지수 나머지 미만 보수 투자가 기본 근거 파악 등락 변동 동양 드림,-0.016129031999999998
60,2010-09-29,행복 나눔 재단 근로자 가족 한번 이내 구입 신한금융투자 뉴욕 움직임 이용자 급증 유가증권시장 코스닥시장 면제 차별화 조회 오픈 선물 잔액 이체,-0.012658228
61,2010-10-04,급여 이체 면제 통장 개설 입금 특정 인정 협의 잔액 기기 뱅킹 강점 적립 신용카드 충족 내역 정리 공연 소액 전화,-0.005899705
63,2010-10-12,이종 별세 주제 미디어 발인 베이 전재 아산 소장 한국은행 신영 대한항공 전무 이정,0.047904192000000005
64,2010-10-13,전무 아산 발인 대표이사 베이 의원 소장 한국은행 경기도 제일 미디어 매일 영국 디자인 별세 전재 대한항공 부상 선전 의사 이사장 이종 주제 이정,-0.017142857
65,2010-10-14,이내 적립 사항 문의,0.0
67,2010-10-19,성적 특징 치열 보험사 호조 배경 차별화 설계,0.027439024
68,2010-10-20,이사회 승인 칼텍스 흥국생명 자격 졸업 우선 나머지 영입 이정 연맹 공식,-0.026706231
69,2010-10-21,특징 순환 정보기술 호재 원인 배경 유망 유동성 침체 선진국 특정 전반 형성 자문 여력 제고 차익 실현 아이비케이투자증권 비즈니스 포트폴리오 요소 원화 내수 센터장 전반적 수혜 수주 가스 한국투자증권 소비 모멘텀 부실 증가율 바닥 대신증권 계열 만주 주당 종가 금융위기 자원 차원 금융지주 반대 관측 근거 인수합병 언급 변경 메리 금융회사 축소 보도 일각 해석 매입 세계적 부정적 이사회 승인 칼텍스 흥국생명 이정 연맹 졸업 우선 학교 소속 나머지 작업 재정 민간 금융시장 금리인상 지도 변수 악재 무엇 사항 장세 밸류 격차 수급 순매수 순매도 확장 국면 신흥국 삼성증권 철강 기계 기조 저금리 연내 코스피지수 향상 안팎 등락 부각 연합 성장률 중앙은행 단기적 고점 개막 정규리그,0.006097561
70,2010-10-22,배경 단순 포트폴리오 정리 무엇 안팎 인수합병 반대 의사 사태 악재 애널리스트 일각 충격 예고 보도 반응 차원 메리 원달러 과의 시각 이탈 연내 지연 구조조정,0.018181818
71,2010-10-27,금융시장 통장 개설 신용카드 전화 금융상품 영역 복합 등장 신탁 출발 결합 마트 취임 금융지주 강조 행장 적립 이체 코스피지수 아이디어 입금 장점 제휴 기본 급여 우대금리 면제,0.030959752000000004
72,2010-11-02,영화 해석 국립 설정 서민 행정 재정 의료 식품 자원 급여 가족 건강 기초 보장 배경 단장 행복 나눔 개혁 진흥 승진 지식 석유 국회 예산 일보 이정 전주 보도 제작 광고 중기 총괄 대표이사 단장 고위 증권업계 한국투자증권 삼성증권 동양 동양 여명 인원 신입 선발 수치 시도 아이비케이투자증권 서류 열린 접수 처리 참가 우선 과제 수행,0.01572327
73,2010-11-04,별세 부상 아산 발인 한국은행 지식 행정 공간 부사장 서울대,0.0029940120000000003
74,2010-11-10,연맹 협의 공식 개막 이사회 승인 의사 이정 사항 무엇 요청 참가 선발 유도,-0.042553191
75,2010-11-11,연맹 협의 공식 개막 이사회 승인 의사 이정 사항 무엇 요청 참가 선발 유도,0.028571429
76,2010-11-14,체크 소득 신용카드 부가 통장 잔액 소비 장점 발급 한국은행 적립 학생 영화 교통 쇼핑 회원 칼텍스 매일 제휴 사의 대금 시험 구매 브랜드 프리미엄 경수 특징 위주,0.046296295999999994
77,2010-11-15,체크 소득 신용카드 부가 통장 잔액 소비 장점 발급 한국은행 적립 학생 영화 교통 쇼핑 회원 칼텍스 매일 제휴 사의 대금 시험 구매 브랜드 프리미엄 경수 특징 위주,-0.02359882
78,2010-11-16,금융위기 행복 강조 광고 처리 전달 파악 가족 사랑 부각 자녀 하면서 수상 삼성생명 소식 삼성증권 도전 자격 고정 모비스 부사장 한국투자증권 금호 인도 위치 점유율 수입 제작 베트남 체제 유일 성장세 누적 증가율 이익률 부채 영역 주관 통장 중단 골드 뱅킹 적립 드림 안내 피해 방지 회수 부가 이체 급여 면제 영입 전당,-0.006042296
79,2010-11-17,인도 위치 점유율 수입 제작 도전 베트남 체제 유일 성장세 누적 증가율 이익률 부채 영역 주관 시너지 임기 행장 시도 의사 단독 협상 금융지주 협의 과의 인수합병 영화 국책 국책은행 관측 안팎 프리미엄 부정적 고위 일각 금융기관 거론 고민 움직임 단체 행정 자격 요청 금융위,0.003039514
80,2010-11-18,마트 혁명 독일 프리미엄 금호 의사 덕분 사랑 행복 제일 반응 증권가 부정적 이틀 무엇 대금 반대 보장 동양 삼성증권 회수 아이비케이투자증권 외부 하향 우선 구조조정 주장 부실 처리 사회적 단독 협상 금융지주 협의 과의 인수합병 영화 국책 국책은행 임기 행장 시도 관측 시너지 안팎 고위 일각 금융기관 거론 고민 움직임 단체 행정 자격 요청 금융위,-0.015151515
81,2010-11-22,뱅킹 통장 이내,0.024316109
82,2010-11-23,시너지 체제 금융그룹 개의 네트워크 결합 가계 과제 본격화 구조조정,-0.017804154
83,2010-11-24,라운드 호텔 흥국생명 칼텍스 영입 학교 성적 체제 금융그룹 개의 네트워크 결합 시너지 가계 과제 본격화 구조조정,0.045317221
84,2010-11-25,건전 통과 신용등급 하향 간담회 거론 변동 조합 구체적 부채 나머지 모집 대금 완료 외부 체크 사항 지도 금감원 체계 부여 임직원 과제 임금 피해 급여 시도,-0.026011561000000002
85,2010-11-29,논란 합의 책임 인정 억만원 특성 특수 취지 씨티 제일 개의 기본 변동 국면 상호 피해 대책 한계,-0.012195122
86,2010-11-30,국립 자원 전보 단장 개혁 근로 재단 승진 사업부 디자인 보도 제작 광고 울산 신설 오정 대표이사 씨티 논란 합의 책임 인정 억만원 특성 특수 취지 제일 개의 기본 변동 국면 상호 피해 대책 한계,-0.00308642
88,2010-12-02,개막 챔피언결정전 삼성화재 현대캐피탈 플레이오프 신설 독일 무대 코트 라운드 공격수 세터 손해보험 협상 플레이 오프 예고 흥국생명 변동 연주 영입 반대 변수 승부 우위 나머지 도전 오정 세계적 미디어 데이 정규리그 고민 부상 절반 선두 체제 대한항공 블로킹 도약,0.012345678999999998
89,2010-12-03,광고 여의도 일보 전반적 침체 부사장 수상 삼성생명 모비스 최우수 브랜드 화장품 금호 공기업 개막 챔피언결정전 삼성화재 현대캐피탈 플레이오프 신설 독일 무대 코트 라운드 공격수 세터 손해보험 협상 플레이 오프 예고 흥국생명 변동 연주 영입 반대 변수 승부,0.021341462999999998
90,2010-12-06,차전 정규리그 대한항공 출발 승부 서브 점수 공격수 경수 반전 최다 공헌 세터 블로킹 도로공사 흥국생명 도전 삼성화재 현대캐피탈 부서 오늘 시청 영입 성공률,0.002985075
91,2010-12-07,청약 유가증권시장 여명 선발 인도 위치 한계 주간 아이비케이투자증권 대표이사 신임 경수 열린 총회 행정 교류 이사장 러시아 서울대 학과 독일 졸업 강원 국회 승진 제주 단장 전보 수행 울산 건강 임원 전무 총괄 전달 과제 통장 급여 파악 이체 면제 광고 현대캐피탈 움직임 여신 씨티 소속 의원 제출 가계 임직원 서민 식품 구매 쇼핑 전화 주문 직접,0.005952381
92,2010-12-08,신탁 제호 상승률 개의 유진투자증권 키움증권 한국투자증권 승진 제주 단장 전보 수행 울산 건강 임원 전무 총괄 일보 강원 지점장 이해 소장 파트너 경영자 한국전력 설비 이정 정상 전달 과제 통장 급여 파악 이체 면제 광고,0.047337277999999997
93,2010-12-10,주당 직접 논란 초과 대금 미만 반대 노조 보장 주장 존재 보도 작성 중요하다 합의 중간 성향 특수 아이비케이투자증권 과도 예산 장관 마음 충격 영국,0.016483516
94,2010-12-12,저금리 상승률 뱅킹 우대금리 설정 통장 이내 기기 면제 기본 단위 소득 중단 유일 적립 중도 가이드 신탁 금융위기 금융시장 납입,0.016483516
95,2010-12-13,소득 중단 유일 적립 중도 가이드 신탁 금융위기 금융시장 납입,-0.008108108000000001
96,2010-12-20,대신증권 안팎 하이닉스 개별 발목 한국은행 마진 아이비케이투자증권 당장 금융상품 저축은행 나눔 전달 공헌 최소 우대금리 서민 통장 잔액 적립 행복 대한민국 민국 사랑 동양 교통 사고 보장 신용카드 트리 어린이 재단 이외,0.0
97,2010-12-21,이체 구체적 통장 기기 면제 신용카드 사랑 왼쪽 행장 임기 본점 우리나라 금융위기 이제 영역 중기 중앙회 마음 기업은행장 특정 소액 맞춤 마찬가지 식품 제고 절감 대신증권 안팎 하이닉스 개별 발목 한국은행 마진 아이비케이투자증권 당장,-0.033678756000000004
98,2010-12-22,분할 설정 나머지 코스피지수 장점 모집 중앙회 메리 금융위기 특정 통장 소액 맞춤 마찬가지 식품 제고 절감 구체적 이체 기기 면제 신용카드 한국투자증권 치열 본인 현황 신뢰 월말 개편 소득 근로 사업자 감면 계기 건강 신제품 호스 부상 여성 브랜드 누적 개의 선호 프리미엄 주문 구매 구입 특수 공정 처리 성공적 소개 광고,0.0
99,2010-12-23,직무,-0.008042895
102,2011-01-05,아이디어 안팎 고민 본인 입금 이용자 우대금리 실행 안내 소비 유도 적립 금융상품 취지 자가 면제 통장 이체 제휴 공연 사의 애플 조회 송금 뱅킹 코스피지수 고점 애널리스트 선진국 신흥국 여력 성적 신탁 마켓,-0.039164491
106,2011-01-16,고위 전보 재정 행정 총괄 교류 안내 민간 노동 도시 교통 임원 파견 공정 소장 울산 전주 차장 식품 승진 국립 자원 단장 지식 기계 여성 단체 연합 피해 진흥 검사 가스 사고 점검 경북 일보 디자인 보도 제작 미디어 광고 대외 공기업 수석 부행장 경제연구소 강남 이종 사업부 퇴직 신탁 최선 여신 지점장 지점장 서초 성남 여의도 신설 화성 장세 창원 시청 중구 금호 재원 드림 아산 개설 영국 이정 동일 부회장 부사장,-0.016483516
